epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1271,1.58841,1.2178,1.26074,0.84361,0.85174,0.90411,0.56867,1.30113,0.8996,1.07878,0.000664042,0.000664042,0.000664042
2,98.0897,1.30943,0.85512,1.09324,0.90794,0.85554,0.9219,0.56407,1.31423,0.86667,1.08633,0.00130436,0.00130436,0.00130436
3,147.102,1.28224,0.82395,1.07089,0.88804,0.88467,0.92727,0.58894,1.24515,0.84365,1.044,0.00191828,0.00191828,0.00191828
4,205.697,1.24879,0.76317,1.04072,0.87599,0.89214,0.91773,0.59779,1.20545,0.78898,1.04053,0.0018812,0.0018812,0.0018812
5,257.916,1.18698,0.71381,1.02567,0.90237,0.88287,0.93057,0.59713,1.20428,0.73905,1.03825,0.0018416,0.0018416,0.0018416
6,306.827,1.16588,0.69158,1.0131,0.92427,0.87914,0.94626,0.63562,1.16345,0.70044,1.00064,0.001802,0.001802,0.001802
7,358.978,1.13689,0.66639,1.00109,0.8888,0.87849,0.92233,0.61615,1.15653,0.70811,1.00198,0.0017624,0.0017624,0.0017624
8,410.13,1.12376,0.65415,0.99722,0.90956,0.90708,0.95591,0.64182,1.13906,0.67284,0.99506,0.0017228,0.0017228,0.0017228
9,460.794,1.10621,0.65205,0.9917,0.9145,0.88606,0.94714,0.63137,1.15967,0.65874,0.98645,0.0016832,0.0016832,0.0016832
10,511.947,1.0922,0.62464,0.98011,0.92568,0.88434,0.94499,0.63761,1.14472,0.66818,1.00093,0.0016436,0.0016436,0.0016436
11,563.59,1.08197,0.61152,0.97783,0.90102,0.89905,0.93999,0.63488,1.12863,0.65405,0.9873,0.001604,0.001604,0.001604
12,614.92,1.06294,0.59833,0.96854,0.90997,0.91066,0.95427,0.64915,1.11883,0.65054,0.97815,0.0015644,0.0015644,0.0015644
13,666.381,1.05455,0.5846,0.96302,0.91547,0.89409,0.94589,0.65365,1.10535,0.62175,0.98483,0.0015248,0.0015248,0.0015248
14,717.741,1.06526,0.60118,0.9781,0.9155,0.89831,0.95993,0.6479,1.12875,0.62471,0.97481,0.0014852,0.0014852,0.0014852
15,769.464,1.03867,0.59045,0.96063,0.92215,0.87738,0.94643,0.652,1.10673,0.65281,0.97408,0.0014456,0.0014456,0.0014456
16,824.925,1.0339,0.56804,0.95715,0.90872,0.90888,0.95793,0.66012,1.08778,0.61053,0.97672,0.001406,0.001406,0.001406
17,878.231,1.02284,0.56623,0.9515,0.92942,0.87784,0.94908,0.6656,1.09558,0.62023,0.96681,0.0013664,0.0013664,0.0013664
18,930.992,1.01923,0.5645,0.95385,0.91219,0.90109,0.95346,0.66553,1.09743,0.6035,0.97146,0.0013268,0.0013268,0.0013268
19,990.854,1.00448,0.54739,0.94566,0.92132,0.89604,0.95115,0.6772,1.04299,0.60474,0.951,0.0012872,0.0012872,0.0012872
20,1046.5,1.00426,0.55339,0.94845,0.90072,0.9204,0.95963,0.64718,1.12892,0.62878,0.97098,0.0012476,0.0012476,0.0012476
21,1100.32,0.99442,0.53766,0.94428,0.92616,0.8884,0.95144,0.65643,1.09631,0.6248,0.95587,0.001208,0.001208,0.001208
22,1154.58,0.98521,0.53966,0.94144,0.92134,0.90946,0.95813,0.67471,1.06475,0.59311,0.95051,0.0011684,0.0011684,0.0011684
23,1203.04,0.98445,0.52983,0.93623,0.92611,0.89149,0.95563,0.67837,1.04202,0.58645,0.94546,0.0011288,0.0011288,0.0011288
24,1252.24,0.9739,0.5254,0.92798,0.92875,0.91048,0.96255,0.67344,1.08202,0.59067,0.95382,0.0010892,0.0010892,0.0010892
25,1301.16,0.96351,0.51521,0.93431,0.90705,0.91585,0.95917,0.67468,1.04773,0.5877,0.94814,0.0010496,0.0010496,0.0010496
26,1350.93,0.96161,0.51605,0.93186,0.91524,0.90862,0.96073,0.6833,1.05448,0.58589,0.95,0.00101,0.00101,0.00101
27,1403.24,0.95793,0.50868,0.92716,0.89984,0.9243,0.96259,0.67926,1.07384,0.58233,0.9551,0.0009704,0.0009704,0.0009704
28,1455.18,0.94745,0.50529,0.92989,0.90945,0.89604,0.95187,0.6732,1.06839,0.60108,0.95475,0.0009308,0.0009308,0.0009308
