epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10442,0.9028,3.20346,2.21838,1.31127,0.00386,0.95652,0.16592,0.11821,0.00351,0.86957,0.16479,0.11886,1.36656,4.06579,3.04115,1.49496,0.00034,0.00034,0.00034
2,10.9605,0.64335,0.8605,1.15208,1.08775,0.83586,0.6647,0.69118,0.52621,0.83586,0.6647,0.69004,0.6058,1.02449,2.47781,2.20866,1.29042,0.00069307,0.00069307,0.00069307
3,15.8642,0.62186,0.73132,1.07393,1.08812,0.92882,0.69565,0.70013,0.45473,0.92882,0.69565,0.69493,0.53139,1.14077,3.09666,2.46491,1.51101,0.00103901,0.00103901,0.00103901
4,20.7996,0.66163,0.82576,1.03192,1.08862,0.74908,0.64914,0.6705,0.50191,0.79086,0.6579,0.67415,0.57019,0.861,1.92312,2.00472,1.11285,0.00137783,0.00137783,0.00137783
5,25.7858,0.67964,0.83512,0.95546,1.08832,0.42178,0.6087,0.46487,0.07422,0.39834,0.52174,0.44675,0.11565,2.58566,2.27955,6.31647,3.40788,0.00170951,0.00170951,0.00170951
6,30.8104,0.65497,0.73163,0.92879,1.08522,0.7049,0.78261,0.71921,0.51176,0.7049,0.78261,0.7035,0.55428,1.07417,3.01476,2.92294,1.78248,0.001901,0.001901,0.001901
7,36.0143,0.63874,0.74911,0.84435,1.06762,0.77401,0.82609,0.79557,0.54004,0.73327,0.78261,0.80464,0.66633,1.03317,3.25014,2.40173,1.61945,0.0018812,0.0018812,0.0018812
8,41.1513,0.62628,0.7368,0.78433,1.05127,0.84398,0.82609,0.86637,0.75139,0.80251,0.78261,0.85405,0.74333,0.71393,1.72668,2.03721,1.00973,0.0018614,0.0018614,0.0018614
9,46.3303,0.62007,0.76941,0.73018,1.0535,0.76473,0.65217,0.72991,0.63145,0.83758,0.69565,0.74996,0.64587,0.85268,2.44682,1.80911,1.14099,0.0018416,0.0018416,0.0018416
10,52.0156,0.62514,0.68508,0.7243,1.07206,0.81965,0.86957,0.83283,0.42828,0.81965,0.86957,0.81558,0.50877,1.39666,2.61835,1.91154,1.74964,0.0018218,0.0018218,0.0018218
11,58.1372,0.572,0.70536,0.67033,1.04759,0.87246,0.59542,0.72163,0.44217,0.52282,0.34783,0.31999,0.15343,1.27839,8.3098,1.70942,1.51526,0.001802,0.001802,0.001802
12,63.7245,0.58143,0.71934,0.69314,1.0582,0.87899,0.82609,0.89841,0.74493,0.87899,0.82609,0.89841,0.79891,0.78651,1.33341,1.31005,0.96251,0.0017822,0.0017822,0.0017822
13,69.2669,0.56477,0.61985,0.61832,1.02354,0.89265,0.72364,0.80486,0.65068,0.81371,0.76017,0.81916,0.71603,0.88236,1.25192,1.50175,1.03695,0.0017624,0.0017624,0.0017624
14,74.6739,0.53053,0.63126,0.58274,0.99715,0.81523,0.76777,0.85474,0.70264,0.81523,0.76777,0.84486,0.73239,0.77738,1.30937,1.05508,0.89815,0.0017426,0.0017426,0.0017426
15,80.1661,0.51684,0.6198,0.57096,1.00589,0.68162,0.78261,0.8192,0.69141,0.68162,0.78261,0.8192,0.71455,0.8236,1.44822,2.07404,0.98837,0.0017228,0.0017228,0.0017228
16,85.635,0.53447,0.57462,0.54803,1.02514,0.89638,0.91304,0.87762,0.68027,0.86613,0.86957,0.84717,0.74078,0.78873,1.78793,2.12907,1.02805,0.001703,0.001703,0.001703
17,91.0687,0.51357,0.54926,0.52631,0.998,0.89622,0.86957,0.86063,0.73554,0.89622,0.86957,0.86035,0.78366,0.62675,1.17936,1.23918,0.91263,0.0016832,0.0016832,0.0016832
18,96.5853,0.527,0.56079,0.51909,1.00193,0.93563,0.78261,0.79075,0.6269,0.93563,0.78261,0.79075,0.7212,0.69963,1.23226,1.23247,0.93545,0.0016634,0.0016634,0.0016634
19,102.148,0.52121,0.65296,0.53086,1.01113,0.93668,0.64364,0.65599,0.59239,0.89319,0.73913,0.69992,0.61573,0.69016,1.45446,1.7804,0.9083,0.0016436,0.0016436,0.0016436
20,107.671,0.51969,0.62985,0.50859,1.00432,0.88698,0.73913,0.78934,0.65692,0.93916,0.78261,0.83388,0.69287,0.83112,1.38592,1.09796,1.08657,0.0016238,0.0016238,0.0016238
21,113.233,0.53417,0.633,0.51594,1.01171,0.91038,0.73913,0.80052,0.67063,0.91038,0.73913,0.80052,0.71015,0.65546,1.49293,1.11441,0.86733,0.001604,0.001604,0.001604
22,118.828,0.4933,0.59208,0.50597,0.99301,0.89288,0.78261,0.78441,0.6452,0.89288,0.78261,0.7851,0.65317,0.66813,1.94193,1.32601,0.86177,0.0015842,0.0015842,0.0015842
23,124.386,0.49518,0.56905,0.4828,0.99707,0.87673,0.91304,0.89266,0.76615,0.87673,0.91304,0.89024,0.79303,0.74354,1.62413,1.07571,0.92561,0.0015644,0.0015644,0.0015644
24,129.969,0.49529,0.63087,0.47973,0.98646,0.94677,0.82609,0.85143,0.71589,0.86861,0.91304,0.86915,0.74065,0.69887,1.4633,1.41689,0.86362,0.0015446,0.0015446,0.0015446
25,135.472,0.46577,0.57925,0.46123,0.98144,0.83871,0.90462,0.86847,0.74433,0.83871,0.90462,0.86282,0.77021,0.62032,1.42289,0.88511,0.77143,0.0015248,0.0015248,0.0015248
26,140.995,0.47572,0.56477,0.45843,0.97831,0.85291,0.82609,0.85633,0.72541,0.89845,0.86957,0.91358,0.74396,0.61829,2.19799,0.8187,0.83438,0.001505,0.001505,0.001505
27,146.629,0.46639,0.52841,0.42563,0.98586,0.94736,0.82609,0.87275,0.71893,0.94309,0.78261,0.817,0.73068,0.69328,2.1649,0.85859,0.93912,0.0014852,0.0014852,0.0014852
28,152.304,0.48812,0.52783,0.44345,0.98823,0.94909,0.82609,0.86817,0.74031,0.94909,0.82609,0.86758,0.76147,0.62018,1.53481,0.91339,0.85175,0.0014654,0.0014654,0.0014654
29,157.794,0.45918,0.5101,0.41462,0.97748,0.94938,0.91304,0.88654,0.72728,0.94938,0.91304,0.88654,0.76688,0.72824,1.45393,0.75479,0.95017,0.0014456,0.0014456,0.0014456
30,163.363,0.47148,0.52895,0.43886,0.96555,0.90448,0.82609,0.83554,0.72636,0.90448,0.82609,0.83554,0.76826,0.68132,1.63513,1.30226,0.86308,0.0014258,0.0014258,0.0014258
31,169.087,0.45157,0.49363,0.40803,0.96611,0.94449,0.78261,0.85015,0.73855,0.94449,0.78261,0.85015,0.74448,0.63722,1.86759,0.7531,0.85181,0.001406,0.001406,0.001406
32,174.672,0.50377,0.57374,0.45881,0.99954,0.94954,0.91304,0.8761,0.71595,0.94954,0.91304,0.87664,0.76066,0.63659,1.31637,0.77199,0.82412,0.0013862,0.0013862,0.0013862
33,180.163,0.46019,0.53142,0.44169,0.97946,0.95223,0.86681,0.87757,0.69719,0.95223,0.86681,0.87757,0.73063,0.78787,1.42434,0.81037,1.00982,0.0013664,0.0013664,0.0013664
34,185.723,0.45598,0.59977,0.44818,0.98355,0.81662,0.86957,0.87326,0.7224,0.81662,0.86957,0.87326,0.77384,0.75542,1.253,0.91808,0.85043,0.0013466,0.0013466,0.0013466
35,191.284,0.43929,0.5559,0.41841,0.95487,0.9037,0.82609,0.88384,0.73775,0.9037,0.82609,0.86536,0.70241,0.63311,1.87025,0.67598,0.8268,0.0013268,0.0013268,0.0013268
36,196.877,0.42542,0.4852,0.39082,0.98352,0.83891,0.90596,0.90476,0.7548,0.83891,0.90596,0.88608,0.79211,0.57179,1.55636,0.59084,0.8421,0.001307,0.001307,0.001307
